lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
musdev-utm,MB_33,ADS,ADS6,6,5.258,5.258,noerror,NA,NA
musdev-utm,MB_33,ADS,ADS7,7,15.912,18,noerror,NA,NA
musdev-utm,MB_33,IDS,IDS7,7,16.458,18,noerror,NA,NA
musdev-utm,MB_33,IDS,IDS8,8,5.647,5.647,noerror,NA,NA
musdev-utm,MB_33,ADS,ADS8,8,8.767,10.077,noerror,NA,NA
musdev-utm,MB_35,ADS,ADS1,1,6.864,6.864,noerror,NA,NA
musdev-utm,MB_35,IDS,IDS1,1,14.586,18,noerror,NA,NA
musdev-utm,MB_35,ADS,ADS2,2,5.662,6.457,noerror,NA,NA
musdev-utm,MB_35,IDS,IDS2,2,14.975,17.97,noerror,NA,NA
musdev-utm,MB_35,IDS,IDS3,3,10.062,11.809,noerror,NA,NA
musdev-utm,MB_35,ADS,ADS3,3,10.7,15.412,noerror,NA,NA
musdev-utm,MB_35,ADS,ADS4,4,4.383,4.383,noerror,NA,NA
musdev-utm,MB_35,IDS,IDS4,4,6.895,8.096,noerror,NA,NA
musdev-utm,MB_35,IDS,IDS5,5,11.201,15.132,noerror,NA,NA
musdev-utm,MB_35,ADS,ADS5,5,9.501,10.796,noerror,NA,NA
musdev-utm,MB_35,IDS,IDS6,6,3.9,3.9,noerror,NA,NA
musdev-utm,MB_35,ADS,ADS6,6,2.449,2.449,noerror,NA,NA
musdev-utm,MB_35,ADS,ADS7,7,5.382,5.382,noerror,NA,NA
musdev-utm,MB_35,IDS,IDS7,7,9.235,11.357,noerror,NA,NA
musdev-utm,MB_35,IDS,IDS8,8,5.429,5.429,noerror,NA,NA
musdev-utm,MB_35,ADS,ADS8,8,4.743,4.743,noerror,NA,NA
